id,bounding_box
person:0.9010,[1081   11   30   70]
person:0.8394,[659  73  34  92]
person:0.8317,[1121    9   36   85]
person:0.8077,[306 335  36  88]
person:0.7996,[246 339  62 104]
person:0.7866,[866   1  30  65]
person:0.7270,[384 141  32  67]
person:0.6232,[1263   60   16   81]
person:0.5839,[920   6  47 109]
person:0.5531,[605  -2  25  54]
person:0.5508,[1210   -1   27   27]
bird:0.5106,[ 28 544  76 109]
person:0.5034,[109   0  20  20]
person:0.9973,[506 266  35 121]
person:0.9918,[928 476  63 108]
person:0.9910,[972 235  55  98]
person:0.9902,[616 126  37  88]
person:0.9873,[761 584  61 125]
person:0.9872,[454 397  45 124]
person:0.9857,[476 141  34  87]
person:0.9855,[761 315  42  82]
person:0.9849,[1199  106   41   83]
person:0.9788,[384 196  35  86]
person:0.9733,[728  36  28  69]
person:0.9712,[533  46  27  80]
person:0.9698,[780  85  36  84]
person:0.9666,[1227  434   50  119]
person:0.9639,[483   0  31  56]
person:0.9637,[155  20  40  74]
person:0.9553,[985 339  52 104]
person:0.9538,[61 85 35 82]
person:0.9537,[1134   63   52  138]
person:0.9442,[163 312  54 118]
person:0.9421,[564  44  33  73]
person:0.9328,[604  55  26  70]
person:0.9108,[1061   13   23   69]
person:0.9064,[1081   12   30   68]
person:0.8880,[253   8  28  72]
person:0.8488,[866   1  30  65]
person:0.8453,[661  89  33  81]
person:0.8278,[306 335  36  86]
person:0.7996,[1118   10   35   92]
person:0.7501,[246 339  62 102]
person:0.7451,[383 142  34  68]
person:0.6919,[1263   61   17   81]
person:0.6452,[921   6  47 109]
person:0.6037,[606  -3  25  56]
person:0.6019,[1210   -2   26   29]
person:0.5605,[522  -1  28  34]
bird:0.5410,[ 27 544  78 109]
person:0.9972,[507 258  32 134]
person:0.9927,[617 127  37  88]
person:0.9916,[472 137  35  90]
person:0.9913,[974 237  56 100]
person:0.9901,[453 394  47 122]
person:0.9896,[925 475  59 111]
person:0.9885,[762 310  40  92]
person:0.9866,[752 579  63 130]
person:0.9824,[157  15  40  74]
person:0.9811,[384 197  34  87]
person:0.9802,[727  37  30  69]
person:0.9784,[1201  107   40   82]
person:0.9740,[988 340  50 111]
person:0.9736,[1223  431   53  121]
person:0.9618,[563  41  36  78]
person:0.9616,[780  85  37  84]
person:0.9446,[533  45  27  81]
person:0.9235,[1136   64   53  138]
person:0.9205,[164 317  52 118]
person:0.9183,[605  52  27  72]
person:0.9167,[1061   13   22   68]
person:0.9131,[58 81 38 83]
person:0.9092,[1081   12   29   67]
person:0.9086,[483   0  35  53]
person:0.8710,[292 335  44  89]
person:0.8572,[252   0  29  73]
person:0.8571,[1117    9   36   97]
person:0.8436,[661  89  34  82]
person:0.8387,[867   1  30  66]
person:0.7716,[243 327  54 111]
