id,x,y
person:0.7067,580.0,797.0
car:0.9721,398.0,501.0
car:0.9705,480.0,446.0
car:0.9616,396.0,698.0
car:0.9514,899.0,451.0
car:0.9318,628.0,493.0
car:0.9219,1044.0,422.0
car:0.9150,757.0,433.0
car:0.9018,575.0,538.0
car:0.8984,861.0,578.0
car:0.8900,1180.0,571.0
person:0.7438,573.0,805.0
car:0.6192,423.0,398.0
car:0.5189,477.0,325.0
car:0.9710,1170.0,559.0
car:0.9648,399.0,503.0
car:0.9545,388.0,696.0
car:0.9426,1032.0,422.0
car:0.9367,893.0,450.0
car:0.9293,577.0,556.0
car:0.8949,861.0,580.0
car:0.8871,623.0,507.0
car:0.8851,482.0,451.0
car:0.8310,755.0,426.0
car:0.7106,451.0,398.0
car:0.6073,530.0,358.0
person:0.5271,573.0,841.0
car:0.9736,383.0,700.0
car:0.9690,580.0,556.0
car:0.9584,1029.0,421.0
car:0.9580,398.0,506.0
car:0.9404,1161.0,557.0
car:0.9403,479.0,455.0
car:0.9261,636.0,510.0
car:0.9205,864.0,579.0
car:0.8721,890.0,449.0
car:0.8054,556.0,823.0
car:0.7795,453.0,399.0
car:0.7365,754.0,421.0
car:0.6085,526.0,358.0
car:0.5084,425.0,403.0
car:0.9614,577.0,558.0
car:0.9490,637.0,511.0
car:0.9416,398.0,508.0
car:0.9393,1025.0,420.0
car:0.9288,1147.0,558.0
car:0.9214,864.0,578.0
car:0.8618,487.0,458.0
car:0.8611,384.0,701.0
car:0.7988,544.0,835.0
car:0.7948,458.0,399.0
car:0.7638,526.0,357.0
car:0.7427,741.0,413.0
car:0.7362,887.0,447.0
car:0.6803,426.0,406.0
car:0.9613,487.0,461.0
car:0.9553,1150.0,541.0
car:0.9538,585.0,557.0
car:0.9415,647.0,504.0
car:0.9043,401.0,507.0
car:0.8422,465.0,401.0
car:0.8373,871.0,575.0
car:0.8369,1022.0,414.0
car:0.8122,397.0,700.0
car:0.8038,740.0,408.0
car:0.7244,525.0,352.0
car:0.7192,884.0,430.0
car:0.6684,428.0,408.0
car:0.9737,585.0,566.0
car:0.9734,389.0,718.0
car:0.9594,1137.0,542.0
car:0.9439,489.0,460.0
car:0.9034,1006.0,412.0
car:0.8602,740.0,388.0
car:0.8502,407.0,510.0
car:0.8414,640.0,520.0
car:0.8174,469.0,398.0
car:0.7865,556.0,812.0
car:0.7733,521.0,353.0
car:0.7175,430.0,410.0
car:0.6886,879.0,430.0
truck:0.6502,884.0,601.0
car:0.5103,770.0,381.0
car:0.9800,1127.0,539.0
car:0.9732,583.0,574.0
car:0.9694,489.0,463.0
car:0.9658,1001.0,414.0
car:0.8752,473.0,401.0
car:0.8716,871.0,439.0
