id,bounding_box
car:0.6073,[514 316  42  16]
person:0.5271,[504 647 194  69]
car:0.9736,[272 570 130 111]
car:0.9690,[486 462  94  94]
car:0.9584,[988 343  78  41]
car:0.9580,[341 435  71  57]
car:0.9404,[1111  451  106   50]
car:0.9403,[433 395  60  46]
car:0.9261,[581 432  78  55]
car:0.9205,[769 463 116  95]
car:0.8721,[857 375  74  33]
car:0.8054,[494 655 168  62]
car:0.7795,[422 341  58  31]
car:0.7365,[725 334  87  29]
car:0.6085,[511 317  41  15]
car:0.5084,[385 355  48  40]
car:0.9614,[487 464  94  90]
car:0.9490,[582 433  78  55]
car:0.9416,[340 436  72  58]
car:0.9393,[982 342  78  43]
car:0.9288,[1099  451  107   48]
car:0.9214,[773 467 111  91]
car:0.8618,[438 396  62  49]
car:0.8611,[273 574 127 111]
car:0.7988,[491 663 172  53]
car:0.7948,[425 341  58  33]
car:0.7638,[510 316  41  16]
car:0.7427,[712 335  78  29]
car:0.7362,[856 374  73  31]
car:0.6803,[386 355  51  40]
car:0.9613,[438 397  64  49]
car:0.9553,[1097  441  100   53]
car:0.9538,[489 465  92  96]
car:0.9415,[587 433  71  60]
car:0.9043,[342 437  70  59]
car:0.8422,[428 344  57  37]
car:0.8373,[777 468 107  94]
car:0.8369,[976 339  75  46]
car:0.8122,[270 579 121 127]
car:0.8038,[710 333  75  30]
car:0.7244,[509 316  36  16]
car:0.7192,[851 372  58  33]
car:0.6684,[385 354  54  43]
car:0.9737,[487 468  98  98]
car:0.9734,[265 586 132 124]
car:0.9594,[1086  441  101   51]
car:0.9439,[440 398  62  49]
car:0.9034,[968 337  75  38]
car:0.8602,[705 331  57  35]
car:0.8502,[344 441  69  63]
car:0.8414,[587 440  80  53]
car:0.8174,[431 344  54  38]
car:0.7865,[517 679 133  39]
car:0.7733,[505 315  38  16]
car:0.7175,[387 355  55  43]
car:0.6886,[848 370  60  31]
truck:0.6502,[784 469 132 100]
car:0.5103,[749 330  51  21]
car:0.9800,[1077  438  101   50]
car:0.9732,[486 471 103  97]
car:0.9694,[440 399  64  49]
car:0.9658,[963 337  77  38]
car:0.8752,[434 345  56  39]
car:0.8716,[838 369  70  33]
car:0.8474,[344 443  69  60]
car:0.8211,[709 326  83  33]
car:0.8091,[392 352  55  51]
car:0.8082,[262 586 129 125]
car:0.7222,[598 438  63  59]
truck:0.6840,[791 471 127  99]
car:0.5594,[502 313  39  17]
car:0.9863,[1071  438   96   47]
car:0.9651,[490 478 107 103]
car:0.9534,[956 336  79  38]
car:0.9479,[836 368  72  33]
car:0.8991,[445 402  61  48]
car:0.8880,[344 445  70  59]
car:0.8653,[435 346  57  37]
car:0.8549,[392 354  55  50]
car:0.8189,[704 325  83  34]
car:0.7907,[259 590 135 123]
car:0.7627,[793 476 135 110]
car:0.7103,[600 442  66  61]
car:0.9824,[1062  435  100   47]
car:0.9698,[954 336  72  38]
car:0.9525,[833 367  70  32]
car:0.9485,[484 480 110 101]
car:0.9341,[803 480 135 109]
car:0.8989,[447 405  64  51]
car:0.8985,[392 356  55  47]
car:0.8575,[344 447  70  59]
car:0.7764,[436 346  57  38]
car:0.7744,[601 444  68  62]
car:0.7734,[705 323  79  33]
car:0.6649,[257 593 138 122]
car:0.9701,[809 483 132 106]
car:0.9684,[946 336  72  38]
car:0.9643,[1057  429   92   49]
car:0.9495,[482 481 113 103]
car:0.9080,[393 356  54  47]
car:0.8816,[601 448  69  59]
car:0.8769,[448 407  62  50]
car:0.8512,[345 447  70  61]
car:0.7748,[435 346  59  40]
car:0.7627,[837 367  59  31]
car:0.6770,[705 322  75  33]
car:0.9835,[940 336  73  37]
car:0.9507,[814 489 124 102]
car:0.9499,[1052  439   89   40]
car:0.9283,[484 484 108 106]
car:0.9265,[449 410  64  48]
car:0.9130,[395 358  55  45]
car:0.8943,[604 452  80  57]
car:0.8857,[825 364  60  33]
car:0.7903,[344 448  70  62]
car:0.7064,[692 324  77  34]
car:0.6852,[443 350  58  33]
car:0.9721,[933 333  72  39]
car:0.9497,[1044  428   91   45]
car:0.9450,[485 487 108 106]
car:0.9364,[450 411  65  48]
car:0.9193,[819 489 146 117]
car:0.9032,[395 359  58  43]
car:0.8978,[608 457  80  59]
car:0.8549,[816 363  70  33]
car:0.8420,[343 451  73  59]
car:0.8413,[445 351  60  33]
car:0.7991,[725 327  51  21]
car:0.7308,[683 325  52  35]
car:0.6022,[480 305  43  19]
car:0.9774,[490 488 114 109]
car:0.9759,[451 411  65  49]
car:0.9703,[610 460  83  58]
car:0.9658,[931 333  68  39]
car:0.9462,[398 359  56  44]
car:0.9363,[1033  426   94   44]
car:0.9192,[336 450  88  76]
car:0.9029,[448 351  59  33]
car:0.8853,[822 497 163 123]
car:0.8808,[811 363  72  32]
car:0.7801,[684 322  81  34]
car:0.5061,[478 305  41  19]
car:0.9819,[491 491 115 109]
car:0.9705,[452 413  65  49]
car:0.9664,[612 463  85  58]
car:0.9576,[1031  426   85   42]
car:0.9528,[928 332  68  38]
car:0.9502,[827 502 165 121]
car:0.9391,[449 352  60  34]
car:0.9190,[334 456  91  73]
car:0.8766,[401 359  55  45]
car:0.8607,[815 363  58  29]
car:0.8313,[682 322  79  32]
car:0.6909,[475 305  40  18]
car:0.9729,[491 503 117 108]
car:0.9729,[455 412  60  52]
car:0.9552,[616 464  85  61]
car:0.9380,[921 330  69  38]
